#TYPE Microsoft.ActiveDirectory.Management.ADComputer
"DistinguishedName","DNSHostName","Enabled","Name","ObjectClass","ObjectGUID","SamAccountName","SID","UserPrincipalName"
"CN=DEVAD2,OU=Domain Controllers,DC=atl,DC=careerbuilder,DC=com","DEVAD2.atl.careerbuilder.com","True","DEVAD2","computer","147617c1-490b-4cc8-be8e-ffc7e301eaad","DEVAD2$","S-1-5-21-839522115-261903793-1417001333-19496",
"CN=DEVAD1,OU=Domain Controllers,DC=atl,DC=careerbuilder,DC=com","DEVAD1.atl.careerbuilder.com","True","DEVAD1","computer","286c58aa-5612-4012-bd1b-d978077158df","DEVAD1$","S-1-5-21-839522115-261903793-1417001333-19495",
"CN=QTMAD1,OU=Domain Controllers,DC=atl,DC=careerbuilder,DC=com","QTMAD1.atl.careerbuilder.com","True","QTMAD1","computer","e81c98fd-2283-45bb-a1b9-e70bacf8288c","QTMAD1$","S-1-5-21-839522115-261903793-1417001333-20312",
"CN=REBELJDIO1,OU=MT,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","REBELJDIO1.atl.careerbuilder.com","True","REBELJDIO1","computer","3129746a-43bb-4b96-9d91-4b4495cb1d5c","REBELJDIO1$","S-1-5-21-839522115-261903793-1417001333-1241",
"CN=REBELJDIO2,OU=MT,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","REBELJDIO2.atl.careerbuilder.com","True","REBELJDIO2","computer","b54a0b24-0aa5-4d6d-bfcc-ad9a70a38329","REBELJDIO2$","S-1-5-21-839522115-261903793-1417001333-1242",
"CN=REBELJDIO3,OU=MT,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","REBELJDIO3.atl.careerbuilder.com","True","REBELJDIO3","computer","700b712f-d157-4c76-9558-ce7ca458a3ad","REBELJDIO3$","S-1-5-21-839522115-261903793-1417001333-1243",
"CN=REBELJDIO5,OU=MT,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","REBELJDIO5.atl.careerbuilder.com","True","REBELJDIO5","computer","c72a7dba-48eb-467f-85e2-18a4d6a4772a","REBELJDIO5$","S-1-5-21-839522115-261903793-1417001333-1790",
"CN=REBELJDIO4,OU=MT,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","REBELJDIO4.atl.careerbuilder.com","True","REBELJDIO4","computer","75584a41-2142-43c2-9fee-ad72e98158c9","REBELJDIO4$","S-1-5-21-839522115-261903793-1417001333-1245",
"CN=REBELJDIO6,OU=MT,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","REBELJDIO6.atl.careerbuilder.com","True","REBELJDIO6","computer","7fcae1a9-fc62-4701-ad32-dd1b959da008","REBELJDIO6$","S-1-5-21-839522115-261903793-1417001333-1792",
"CN=CBDFS1,OU=Utility,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","CBDFS1.atl.careerbuilder.com","False","CBDFS1","computer","b9b71227-4363-4abb-af16-694006592aae","CBDFS1$","S-1-5-21-839522115-261903793-1417001333-11437",
"CN=DEVDFS1,OU=DEV,OU=Servers,DC=atl,DC=careerbuilder,DC=com","DEVDFS1.atl.careerbuilder.com","True","DEVDFS1","computer","22f5f450-d1f5-486b-a32f-f1a6df20f339","DEVDFS1$","S-1-5-21-839522115-261903793-1417001333-10857",
"CN=smokeping,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","smokeping.atl.careerbuilder.com","True","smokeping","computer","ead099b0-a17f-4f43-ad2d-cfc9baa38178","smokeping$","S-1-5-21-839522115-261903793-1417001333-11493",
"CN=DRVMHOST1,OU=VMWARE,OU=LUIGI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","DRVMHOST1.atl.careerbuilder.com","True","DRVMHOST1","computer","b5b8b488-13e3-4bbe-a5ba-69a268d0e4fe","DRVMHOST1$","S-1-5-21-839522115-261903793-1417001333-8682",
"CN=DRVMHOST2,OU=VMWARE,OU=LUIGI,OU=Servers,DC=atl,DC=careerbuilder,DC=com","DRVMHOST2.atl.careerbuilder.com","True","DRVMHOST2","computer","8269d864-d0ed-4940-b15e-05595147f043","DRVMHOST2$","S-1-5-21-839522115-261903793-1417001333-9167",
"CN=SMOKEYJR,OU=Linux,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","smokeyjr.atl.careerbuilder.com","True","SMOKEYJR","computer","0f386694-5884-4ac4-b65b-e399e0a7f7c0","smokeyjr$","S-1-5-21-839522115-261903793-1417001333-15229",
"CN=MISTYJR,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mistyjr.atl.careerbuilder.com","True","MISTYJR","computer","3a6c2a42-c736-4c4f-a8f8-0b5cf8b031c2","mistyjr$","S-1-5-21-839522115-261903793-1417001333-18210",
"CN=GOLDEN,OU=Clusters,OU=DB Servers,DC=atl,DC=careerbuilder,DC=com","GOLDEN.atl.careerbuilder.com","True","GOLDEN","computer","4b26b76e-9b92-4ed0-9144-ff2e4bfca418","GOLDEN$","S-1-5-21-839522115-261903793-1417001333-11301",
"CN=GECL,OU=Clusters,OU=DB Servers,DC=atl,DC=careerbuilder,DC=com","GECL.atl.careerbuilder.com","True","GECL","computer","f92cfdc8-4025-4a90-8159-1b3af7c8ae25","GECL$","S-1-5-21-839522115-261903793-1417001333-11293",
"CN=BEARSNIFF,OU=Site Network Servers,DC=atl,DC=careerbuilder,DC=com","bearsniff.atl.careerbuilder.com","True","BEARSNIFF","computer","265b608c-1864-45a8-960e-6f22bdedd941","BEARSNIFF$","S-1-5-21-839522115-261903793-1417001333-8673",
"CN=QTS-SNIFF,OU=Site Network Servers,DC=atl,DC=careerbuilder,DC=com","qts-sniff.atl.careerbuilder.com","True","QTS-SNIFF","computer","01df0ca1-4422-48e8-971e-4cf41a625c62","QTS-SNIFF$","S-1-5-21-839522115-261903793-1417001333-5275",
"CN=CHEETAHTEST,OU=Test,DC=atl,DC=careerbuilder,DC=com","CHEETAHTEST.atl.careerbuilder.com","True","CHEETAHTEST","computer","12ae6b78-d441-43e8-8a6f-64cdbf3e2856","CHEETAHTEST$","S-1-5-21-839522115-261903793-1417001333-18244",
"CN=KINGCL,OU=Clusters,OU=DB Servers,DC=atl,DC=careerbuilder,DC=com","KingCL.atl.careerbuilder.com","True","KINGCL","computer","d1dda760-e547-4086-afc6-d39cbd6e6303","KingCL$","S-1-5-21-839522115-261903793-1417001333-10779",
"CN=KING,OU=Clusters,OU=DB Servers,DC=atl,DC=careerbuilder,DC=com","KING.atl.careerbuilder.com","True","KING","computer","7ec3bede-cf9b-4bad-ad22-ad231edb42c8","KING$","S-1-5-21-839522115-261903793-1417001333-10780",
"CN=QTWVMHOST1,OU=VMWARE,OU=QTW,OU=Servers,DC=atl,DC=careerbuilder,DC=com","qtwvmhost1.atl.careerbuilder.com","True","QTWVMHOST1","computer","66d576e1-2686-4c95-86f7-e201b97a4895","QTWVMHOST1$","S-1-5-21-839522115-261903793-1417001333-15303",
"CN=mailhubs1,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mailhubs1.atl.careerbuilder.com","True","mailhubs1","computer","161bc695-4daa-46e0-8aca-7eba3b69c6c3","mailhubs1$","S-1-5-21-839522115-261903793-1417001333-11363",
"CN=mailhubs3,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mailhubs3.atl.careerbuilder.com","True","mailhubs3","computer","8db5a653-7a54-4937-8f4f-c36b93fa09fb","mailhubs3$","S-1-5-21-839522115-261903793-1417001333-10733",
"CN=MAILPSA150,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mailpsa150.atl.careerbuilder.com","True","MAILPSA150","computer","2987caac-289b-4b9a-9693-b4cf737aa9b5","mailpsa150$","S-1-5-21-839522115-261903793-1417001333-18627",
"CN=MAILPSA170,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mailpsa170.atl.careerbuilder.com","True","MAILPSA170","computer","7d878194-9717-4080-95f2-b3fcb5dd1e0c","mailpsa170$","S-1-5-21-839522115-261903793-1417001333-18629",
"CN=MAILPSA180,OU=Linux,OU=QTM,OU=Servers,DC=atl,DC=careerbuilder,DC=com","mailpsa180.atl.careerbuilder.com","True","MAILPSA180","computer","6f7380c6-fe2d-4faa-ae1a-3ace1a165c62","mailpsa180$","S-1-5-21-839522115-261903793-1417001333-18630",
